GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500477,200768,544,FALSE,0,3.96,5.011646944,24.48896168,54.35482104,44.06590939,4.966702578,201162,5.402260442,1.234765308,2.60945844,2.970740014,3.186977579,3.323168827,3.282024949,3.657397939,4.340104845,,,,10.11804518,9.285870828,8.761232803,8.632057882,8.739237181,8.501140295,8.118863239,7.812329109,7.512042152,7.382298979
21500477,201162,571,TRUE,3,0.48,1.625564795,22.91431453,46.93737259,83.40425296,0.091373706,200768,9.95150403,9.524424869,,,,,,,,,,,6.928728488,9.137875046,9.931392327,9.364820971,,,,,,
21500477,201162,582,TRUE,0,0.44,1.197928782,24.79433314,40.4802449,24.11201831,0.472357349,201960,10.62092997,10.93571574,,,,,,,,,,,2.235068751,3.172244789,2.799218055,3.566354361,,,,,,
21500477,203490,598,TRUE,0,0.84,1.629956084,24.79865584,46.05075976,20.76544803,1.244711199,202709,1.800154945,10.16812328,1.934130142,,,,,,,,,,3.09306003,4.389548742,4.202598131,3.639897663,3.824908129,4.115999627,4.329381224,4.515594879,4.679758775,4.764264274
21500070,201142,6,TRUE,3,0.32,2.273554561,26.1326543,41.94894377,31.90744945,0.616541951,201565,5.935048675,9.46495754,,,,,,,,,,,1.987890577,1.232524633,0.954960271,0.951576735,1.268874452,1.613814126,,,,
21500070,201565,36,TRUE,0,0.56,7.57926612,25.1518443,47.51756715,96.84703465,-0.148376436,201566,5.984910392,4.042606801,7.47057931,,,,,,,,,,7.378841566,6.17740084,4.597338254,,,,,,,
21500070,202710,52,TRUE,3,0.64,2.448003949,22.92851211,44.22812661,74.5526305,0.450200283,201586,5.058255442,6.640451232,2.092245829,,,,,,,,,,1.894717638,1.456292594,1.597303424,1.712107624,1.622835796,,,,,
21500070,201571,138,TRUE,0,0.32,1.740743913,25.98374708,43.75473231,27.13462191,0.490309639,201565,11.73626672,7.311700648,,,,,,,,,,,1.28673875,1.019400332,0.892209358,0.748966683,,,,,,
21500070,203926,329,TRUE,0,0.08,2.474345194,26.53330872,10.99776869,87.9164269,0.007934075,203460,8.269044636,7.750828766,,,,,,,,,,,,,,,,,,,,
21500070,203503,361,TRUE,0,0.32,1.866450836,23.27969427,47.17710271,125.0894487,-0.329055143,201586,19.97087567,3.761039248,,,,,,,,,,,3.993221576,3.453587153,4.515074672,6.500813931,8.377961137,9.615818516,10.71457062,11.46348654,12.03785969,12.41407854
